can_nam,can_off,can_off_sta,can_par_aff,can_inc_cha_ope_sea,ind_ite_con,ind_uni_con,ind_con,par_com_con,oth_com_con,tot_con,tot_rec,ope_exp,tot_con_ref,oth_dis,tot_dis,cas_on_han_beg_of_per,cas_on_han_clo_of_per,net_con,net_ope_exp,winner
"BARRERA, RAUL (ROY)",H,TX,DEM,CHALLENGER,12703,2498,15201,750,1100,19411.53,22558.99,18498.17,1389.47,200,20852.64,,1706.35,18022.06,18498.17,
"BARRETT, CHARLES DANIEL",H,NC,REP,CHALLENGER,16650,5782.29,22432.29,,,22432.29,241402.41,241402.41,,,241402.41,,,22432.29,241402.41,
"BARRINGER, ADAM",H,FL,REP,CHALLENGER,223577.63,36214.64,259792.27,,2000,262797.93,262812.81,200858.19,60004.67,,260862.86,,1949.95,202793.26,200843.31,
"BARRON, WILLIAM CURRIE",S,UT,UN,CHALLENGER,9800,2956,11306,,,12756,12760.08,13139,,,13139,3722,3342,12756,12870,
"BARTLEY, LORI ANITA MRS.",H,TX,REP,CHALLENGER,16424,8169.87,24593.87,5000,,29593.87,33772.87,34241.17,,,34366.17,,-495.95,29593.87,34241.17,
"BARTON, JOE LINUS",H,TX,REP,INCUMBENT,436428.64,16323,452751.64,,681802.98,1134554.62,1153075.27,1215447.38,2300,14262,1232009.38,418874.14,339940.03,1132254.62,1215122.38,Y
"BARVE, KUMAR",H,MD,DEM,OPEN,484928.76,65599.16,550527.92,,52132,610971.47,610971.47,593123.47,15623,2225,610971.47,6736.73,6736.73,595348.47,593123.47,
"BASIAGO, ANDREW DANIEL",P,US,IND,OPEN,8686,7356,16041.57,,,17034.27,17034.27,19334.11,,,19334.11,,-2715.35,13280.65,9479,
"BASLER, DOUGLAS MICHAEL",H,WA,REP,CHALLENGER,21976.55,7192,29168.55,532,,29951.55,29976.55,27362.72,,,27867.72,-487.69,1621.14,29951.55,27362.72,
"BASS, KAREN",H,CA,DEM,INCUMBENT,231323.74,12249.52,243573.26,,338494.25,582067.51,590520.51,386351.77,5250,222276.2,613877.97,276177.47,252820.01,576817.51,386221.77,Y
"BATTS, JASON",H,KY,REP,OPEN,117388.04,27486,144874.04,,,155479.19,180479.19,176664.44,1410,75.15,179926.2,,552.99,154069.19,176664.44,
"BAUCUM, RALPH W DR III",H,LA,REP,OPEN,573127.46,8885.72,582013.18,,13000,595013.18,695083.74,575946.97,5650,2350,583946.97,,111136.77,589363.18,575946.97,
"BAUGH, SCOTT",H,CA,REP,CHALLENGER,563900,1105,565005,,1000,566005,566005,13176.82,7000,,20176.82,,545828.18,559005,13176.82,
"BAYH, EVAN",S,IN,DEM,OPEN,2002523,353589,2356113,51800,500636,2908549,3472198,10490573,2803,12000,10505377,9983284,2950102,2905746,10485826,
"BEAGLE, WILLIAM",H,OH,REP,CHALLENGER,238695.63,18566,257261.63,5000,47000,309261.63,501672.33,501622.33,50,,501672.33,,,309211.63,501622.33,
"BEATTY, JOYCE",H,OH,DEM,INCUMBENT,244993.16,30020.7,275013.86,2500,786222,1063735.86,1070610.69,607768.16,2500,7372,617640.16,358727.46,811697.99,1061235.86,600893.33,Y
"BECERRA, XAVIER",H,CA,DEM,INCUMBENT,565544.87,26101.62,591646.49,,1076550,1668196.49,1780162.22,899972.05,6794.08,647251.06,1554017.19,1288938.52,1515083.55,1661402.41,893434.06,Y
"BECK, CHRISTOPHER T",H,MD,DEM,CHALLENGER,2681.6,3444.28,6125.88,,,6125.88,6125.88,2677.96,,,2677.96,,3447.92,6125.88,2677.96,
"BECKER, FRANCIS X. JR.",H,NY,REP,CHALLENGER,,,,,,,20.65,571,,,571,1163.47,613.12,,550.35,
"BEDELL, EILEEN MCNEIL",H,VA,DEM,CHALLENGER,85964.4,67137.77,153102.17,,11734,174143.22,183027.1,176091.64,,,184975.52,,-1948.74,174143.22,176091.64,
"BEEBE, JAMES WESLEY DR",P,US,IND,OPEN,,,,,,,1870,1911,,,1803,5400,,,,
"BEERS, ROBERT T",S,NV,REP,OPEN,33508,25730,59239,,,59239,59239,65298,,,65298,6059,,59239,65298,
"BEGAY, CARLYLE WILMER",H,AZ,REP,OPEN,71860,7491.09,79351.09,,13000,92351.09,92351.09,89815.12,535.97,2000,92351.09,,,91815.12,89815.12,
"BEILER, CHET",H,PA,REP,OPEN,103050,6669.82,109719.82,,,109719.82,659814.92,653537.87,8100,,661637.87,,,101619.82,653537.87,
"BEITIKS, MIKELIS VALAINIS",S,CA,IND,OPEN,2995,2639,5634,,,6500,6500,6348,,150,6498,,,6500,6348,
"BELL, DOUGLAS ANTHONY",H,GA,REP,CHALLENGER,3930,2078,6008,,,9913.57,9913.57,4424.91,,5228.94,9653.85,,146.72,9913.57,4424.91,
"BENNET, MICHAEL F",S,CO,DEM,INCUMBENT,8632622,1365764,10348925,51800,2859501,13267629,14928768,12698698,113046,32041,12843792,1234402,3319378,13154579,12665756,Y
"BENNETT, KEN",H,AZ,REP,OPEN,348070.94,28926.16,376997.1,,6000,393873.1,463873.44,430989.02,28980.62,,459969.64,,3903.8,364892.48,430989.02,
"BENNETT, LUANN",H,VA,DEM,CHALLENGER,1503463.85,260605.81,1764069.66,14996.7,315807.37,2121534.46,2211534.46,1976059.94,11346.47,141494.2,2128900.61,,82633.85,2110187.99,1976059.94,
"BENSMIHEN, JOSEPH",H,FL,REP,CHALLENGER,89131,5389,94520,,11000,107408.79,137410.38,115179.88,9200,,137410.38,,,98208.79,115179.88,
"BENTIVOLIO, KERRY",H,MI,REP,CHALLENGER,23500,65,23565,,3600,27165,28665,1018.83,,2758.08,25091.37,3052.51,-8161.55,27165,4618.83,
"BERA, AMERISH",H,CA,DEM,INCUMBENT,2045832,346174.45,2392006.45,5437.16,1259003.62,3661038.65,3665912.7,3062067.04,49427.39,271326,3387820.43,152506.33,430598.6,3611611.26,3060584.69,Y
"BERGMAN, JOHN",H,MI,REP,OPEN,428573,70362.5,498935.5,5000,238839.5,742869.97,1128530.63,992990.65,,10010.3,1003000.95,,125529.68,742869.97,974243.16,Y
"BERNAL, BENITO BENNY",H,CA,DEM,CHALLENGER,9086,6416,15502,,,15502,15502,15274,,224,15499,,,15502,15499,
"BERRY, JOEY",P,US,IND,OPEN,,,,,,,,,,,,,,,,
"BERRY, PAUL III",H,MO,REP,CHALLENGER,,,,,,,,,,,,,,,,
"BERUFF, CARLOS",S,FL,REP,CHALLENGER,317750,12951,330701,,1000,482811,8495661,8196656,,,8196656,,299002,482811,8196656,
"BEYER, DONALD STERNOFF JR.",H,VA,DEM,INCUMBENT,1101330,54145.29,1155475.29,,828886.67,1989963.61,2009382.93,761705.05,7501.47,320380,1280886.52,86253.61,814750.02,1982462.14,742454.92,Y
"BICKELMEYER, MICHAEL",P,US,REP,OPEN,7,,,,,3408,3408,3424,,,3427,21,5,,,
"BIGGS, ANDY",H,AZ,REP,OPEN,375607,39230.13,414837.13,,189050.5,603887.63,877621.19,693446.51,1000,113342.28,807788.79,,69832.4,602887.63,693446.51,Y
"BILIRAKIS, GUS M",H,FL,REP,INCUMBENT,507213.61,64768.82,571982.43,,736175,1308157.43,1315645.73,1266055.92,2145.07,169650,1437850.99,429105.83,306900.57,1306012.36,1260554.41,Y
"BILLIOT, BERYL",S,LA,IND,OPEN,3650,2750,6400,,,7300,7300,6676,,,6676,,623,7300,6676,
"BIRCHER, MARK WILLIAM",H,FL,REP,CHALLENGER,2850,3641,6491,,,6491,48491,48491,,,48491,,,6491,48491,
"BISHOP, BOB",H,NY,REP,OPEN,30250,5940,36190,,,36190,36240,35690,500,,36240,,,35690,35690,
"BISHOP, MIKE",H,MI,REP,INCUMBENT,565370.5,52680.42,618050.92,10000,818934.23,1446985.15,1454331.83,1139447.38,100,14100,1153647.38,40589.01,341273.46,1446885.15,1139447.38,Y
"BISHOP, ROBERT",H,UT,REP,INCUMBENT,380425.38,12795.29,393220.67,,560273.57,953494.24,953572.8,269763.7,500,4250,647963.7,45781.01,351390.11,952994.24,269763.7,Y
"BISHOP, SANFORD D JR",H,GA,DEM,INCUMBENT,284637.3,8535.21,293172.51,1000,774521.31,1068693.82,1069765.17,850151.9,,34106.27,884258.17,144316.29,329823.29,1068693.82,849080.55,Y
"BJORN, ARIK",H,SC,DEM,CHALLENGER,18934.75,25400.74,44335.49,11500,,62237.64,62337.64,53329.21,40,55,53424.21,,8913.43,62197.64,53329.21,
"BLACK, DIANE L MRS.",H,TN,REP,INCUMBENT,623677.05,26487.5,650164.55,,1014798.66,1664963.21,1676782.36,2434837.87,4250,95700,2608987.87,1066815.57,134610.06,1660713.21,2423018.72,Y
"BLACKBURN, MARSHA MRS.",H,TN,REP,INCUMBENT,729583.81,88298.72,817882.53,,1198403.96,2016286.49,2036058.7,1262941.83,5025,4775,1272741.83,1862627.81,2625944.68,2011261.49,1262562.12,Y
"BLAHA, ROBERT",S,CO,REP,CHALLENGER,129246,145681,274927,,1000,275927,1275927,1191997,13500,,1205497,,70427,262427,1191997,
"BLAKE, ROBERT EDWARD",H,FL,REP,OPEN,700,,700,,,15700,15700,9592,,,9592,,6104,15700,9592,
"BLATT, DOUGLAS JAMES MR",H,TX,DEM,CHALLENGER,,840,840,,,1367.39,1867.39,431.32,,936.07,1867.39,,,1367.39,431.32,
"BLEDSOE, WILLIAM DAVID DVM",S,SC,LIB,CHALLENGER,,,,,,,2180,1657,,,1657,,448,,1657,
"BLOOM, TODD ANTHONY",H,WA,REP,CHALLENGER,4734,1529,5914,275,,8435,11056,7929,,234,6702,,2893,8435,10852,
"BLUM, RODNEY",H,IA,REP,INCUMBENT,826840.73,280772.56,1107613.29,,619749.47,1727598.36,2247137.68,1279648.25,8375,,1538023.25,44558.1,753672.15,1719223.36,1278679.16,Y
"BLUMENAUER, EARL",H,OR,DEM,INCUMBENT,516199.23,68418.65,584617.88,,853427.43,1438045.31,1447540.39,782688.98,7074.5,180107.05,969870.53,655048.08,1132717.94,1430970.81,773605.33,Y
"BLUMENTHAL, RICHARD",S,CT,DEM,INCUMBENT,4953958,413789,5367750,,1646737,7056494,7158588,3852543,67122,147789,4121046,661111,3698653,6989367,3850075,Y
"BLUNT, ROY",S,MO,REP,INCUMBENT,5944306,351284,6095583,46800,3780094,9882675,11000604,11064236,92728,18326,11175291,2213935,2039047,9843746,11016640,Y
"BLUST, JOHN MARSHALL",H,NC,REP,CHALLENGER,43250,3811.68,47061.68,,4500,51561.68,51561.68,50087.87,1000,,51087.87,,473.81,50561.68,50087.87,
"BOISSELLE, CHAD EUGENE",P,US,IDP,OPEN,,,,,,247,247,245,,,245,,,,,
"BOLLING, DAN",H,MD,DEM,OPEN,6650,1655,8305,,,8305,37944.67,27194.76,,,37078.76,,865.91,8305,27194.76,
"BOMBERGER, JEFFREY",H,CA,IND,CHALLENGER,,,,,,,,,,,,,,,,
"BONAMICI, SUZANNE MS.",H,OR,DEM,INCUMBENT,346729.53,66715.09,413444.62,,472958.53,886403.15,887161.06,526287.36,5386.89,212724.57,744398.82,232372.78,375135.02,881016.26,525529.45,Y
"BONGINO, DANIEL J",H,FL,REP,OPEN,154460.21,253030.54,407490.75,,24500,431990.75,432589.75,410205.08,16200,,426405.08,,6184.67,415790.75,409606.08,
"BONNERQ, JAY ALAN",H,FL,REP,CHALLENGER,3202.66,830.29,4032.95,,,4121.83,6121.83,6882.83,1829.2,450,9162.03,5344.94,2304.74,2292.63,6882.83,
"BONOFF, TERRI",H,MN,DFL,CHALLENGER,1162295.15,221066.31,1383361.46,4997.61,266376.49,1660038.22,1660904.23,1442567.64,3335,,1445902.64,,215001.59,1656703.22,1441701.63,
"BONPASSE, MORRISON MCKELVY",P,US,DEM,OPEN,,,,,,,,,,,,,,,,
"BOOZMAN, JOHN",S,AR,REP,INCUMBENT,1957067,106099,2063167,8575,1686146,3757889,3999306,2907394,10863,850,2920107,268602,1347800,3747026,2905565,Y
"BORDALLO, MADELEINE Z. MS.",H,GU,DEM,INCUMBENT,109960,3875,113835,1157.8,48000,162992.8,163100.7,133775.43,,,133775.43,20832.59,50157.86,162992.8,133667.53,
"BORDERS, JASON D",H,FL,DEM,OPEN,,340,340,,,646.91,646.91,646.91,,,646.91,,,646.91,646.91,
"BOST, MICHAEL",H,IL,REP,INCUMBENT,1061194.68,130115.05,1191309.73,1000,1025436.92,2217746.65,2248010.18,1920483.67,5550,187601.25,2113634.92,27294.05,161669.31,2212196.65,1920322.3,Y
"BOSTOW, DIANE EVELYN",H,MI,LIB,OPEN,2710,1023.84,3733.84,,,6389.24,6389.24,5120.65,,,5120.65,400,1668.59,6389.24,5120.65,
"BOUIE II, JOHN MR",H,MS,REP,CHALLENGER,,,,,,,,,,,,,,,,
"BOUSTANY, CHARLES W JR DR",S,LA,REP,OPEN,3192770.16,76116,3268887.16,,1916903.62,5185791.78,5192668.18,5104118.63,49560,9359.06,5163037.69,366517.88,396148,5136231.78,5102979.63,
"BOWERS, KERRY DALE",H,NV,REP,OPEN,,,,,,23463.21,23463.21,23449.21,,,23449.21,,-455.86,23463.21,23449.21,
"BOWERS, KERRY DALE",P,US,REP,OPEN,,,,,,1868.3,1868.3,1868.3,,,1868.3,,,485.49,485.49,
"BOWMAN, MARCUS",S,AL,REP,CHALLENGER,1500,390,1890,,,1890,1890,770,,,770,,1119,1890,770,
"BOYD, WILLIE WILL"" DR. JR.""",H,AL,DEM,CHALLENGER,19153,11488.75,30641.75,500,19000,52983.73,55906.93,54923.85,,,54923.85,,983.08,52983.73,54923.85,
"BOYKIN, RICHARD R",S,IL,DEM,CHALLENGER,,,,,,10000,9304.15,1147,8853,,10000,10000,,,,
"BOYLE, BRENDAN F",H,PA,DEM,INCUMBENT,340403.5,14690.29,355093.79,2708.67,640100,999124.24,1003961.86,430085.16,1320,451606,928492.16,415222.88,490692.58,997804.24,429395.52,Y
"BRADDY, SEAN D",S,OK,IND,CHALLENGER,6629,5629,12259,,,12259,12259,12705,,46,12751,,-492,12259,12705,
"BRADELL, KYLE",H,CO,REP,CHALLENGER,,,,,,1858.9,1858.9,1858.9,,,1858.9,,,1858.9,1858.9,
"BRADSHAW, PAULA",H,IL,GRE,CHALLENGER,808.53,450,1258.53,1200,50,2508.53,2565.53,1875.53,,,1875.53,835.4,1525.4,2508.53,1875.53,
